timestamp,motiontime,cmd_mode,cmd_gaitType,cmd_velocity_x,cmd_velocity_y,cmd_yawSpeed,cmd_bodyHeight,cmd_euler_x,cmd_euler_y,cmd_euler_z,imu_r,imu_p,imu_y,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z,m0_q,m0_dq,m0_tau,m1_q,m1_dq,m1_tau,m2_q,m2_dq,m2_tau,m3_q,m3_dq,m3_tau,m4_q,m4_dq,m4_tau,m5_q,m5_dq,m5_tau,m6_q,m6_dq,m6_tau,m7_q,m7_dq,m7_tau,m8_q,m8_dq,m8_tau,m9_q,m9_dq,m9_tau,m10_q,m10_dq,m10_tau,m11_q,m11_dq,m11_tau
1744752089.6617568,1617,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12286809086799622,0.015489287674427032,-1.2885733842849731,0.0013839509338140488,-0.0008769732085056603,0.0025242266710847616,-0.14698819816112518,1.1850281953811646,9.623822212219238,-0.12989060580730438,-0.0032548008020967245,1.13671875,0.7849752306938171,0.016860727220773697,0.54296875,-1.5506939888000488,-0.009588074870407581,2.66796875,-0.08114378154277802,-0.006000408437103033,-2.22265625,0.7578465938568115,0.015185420401394367,0.3203125,-1.508103609085083,-0.004903949331492186,5.37890625,-0.1498132348060608,0.004059598781168461,1.90234375,0.7892746329307556,-0.0020731929689645767,0.640625,-1.5848873853683472,-0.007497959770262241,3.484375,-0.12159456312656403,-0.0017145629972219467,-2.07421875,0.7772847414016724,0.017818065360188484,0.24609375,-1.5311548709869385,-0.0002237019216408953,5.97265625
1744752089.6645534,1618,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.6671343,1619,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.6697652,1620,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.6724434,1621,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.6750588,1622,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.677842,1623,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.680541,1624,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293314933776855,0.015464886091649532,-1.2885708808898926,0.014414920471608639,0.015021437779068947,-0.004671311937272549,-0.14803312718868256,1.161036491394043,9.61925220489502,-0.12989060580730438,0.0066598462872207165,1.16015625,0.7849146723747253,0.001888974104076624,0.640625,-1.5506939888000488,-0.009452522732317448,2.4453125,-0.08120433241128922,5.9517882618820295e-05,-2.2734375,0.7577860355377197,0.00045280929771251976,0.34375,-1.5080631971359253,0.008085266686975956,5.1171875,-0.14993435144424438,-0.0014988448238000274,1.953125,0.7892746329307556,0.0008045784779824317,0.4921875,-1.5848873853683472,0.0005101828137412667,3.44921875,-0.12171567231416702,-0.004519863519817591,-1.87890625,0.7772847414016724,0.008190609514713287,0.34375,-1.5311548709869385,-0.00010644554276950657,5.78515625
1744752089.683261,1625,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
1744752089.6861129,1626,1,0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.12293840199708939,0.01544311735779047,-1.2885594367980957,0.006034283898770809,-0.0010021253256127238,-0.009044037200510502,-0.142238050699234,1.1746976375579834,9.553418159484863,-0.12995116412639618,-0.0006293286569416523,1.18359375,0.7849146723747253,0.0022468245588243008,0.46875,-1.5506535768508911,0.0038339607417583466,2.484375,-0.08132544159889221,-0.018291911110281944,-2.19921875,0.7577860355377197,-0.006579461041837931,0.39453125,-1.5080631971359253,0.008343895897269249,5.23046875,-0.14999490976333618,-0.0022366035263985395,1.92578125,0.7892746329307556,0.00013347271305974573,0.58984375,-1.5849277973175049,-0.004172927234321833,3.41015625,-0.12177622318267822,-0.0035308622755110264,-1.9765625,0.7772241830825806,-0.007537973579019308,0.24609375,-1.5311548709869385,0.00027941950247623026,5.8984375
