timestamp,motiontime,cmd_mode,cmd_gaitType,cmd_velocity_x,cmd_velocity_y,cmd_yawSpeed,cmd_bodyHeight,cmd_euler_x,cmd_euler_y,cmd_euler_z,imu_r,imu_p,imu_y,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z,footForce_0,footForceEst_0,footForce_1,footForceEst_1,footForce_2,footForceEst_2,footForce_3,footForceEst_3,m0_q,m0_dq,m0_tau,m1_q,m1_dq,m1_tau,m2_q,m2_dq,m2_tau,m3_q,m3_dq,m3_tau,m4_q,m4_dq,m4_tau,m5_q,m5_dq,m5_tau,m6_q,m6_dq,m6_tau,m7_q,m7_dq,m7_tau,m8_q,m8_dq,m8_tau,m9_q,m9_dq,m9_tau,m10_q,m10_dq,m10_tau,m11_q,m11_dq,m11_tau
1744753224.9151866,11,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1744753224.917557,12,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1744753224.919986,13,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1744753224.9224093,14,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1744753224.9248748,15,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.927312,16,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.9298348,17,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.9323816,18,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.93499,19,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.9376788,20,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.9403632,21,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.9430494,22,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026987172663211823,0.026609189808368683,0.31023359298706055,-0.007130631245672703,-0.005357284098863602,0.007472389843314886,-0.19033022224903107,0.2145927995443344,9.666282653808594,0,0,0,0,0,0,0,0,-0.00920436903834343,0.004773127380758524,1.75390625,0.8016884326934814,0.0062774778343737125,0.515625,-1.60495126247406,0.00045073029468767345,5.67578125,0.03645414486527443,-0.01379186101257801,-2.37109375,0.7930896282196045,-0.0009567622910253704,0.58984375,-1.606162428855896,-0.006959456484764814,4.89453125,-0.02410091459751129,-0.000235760206123814,2.19921875,0.7981762290000916,0.001074115396477282,0.8125,-1.6230370998382568,-0.00010395071876700968,6.75,0.0011505461297929287,-0.00014594678941648453,-2.3984375,0.8017489910125732,4.3610914872260764e-05,0.58984375,-1.6119352579116821,0.011085397563874722,5.48828125
1744753224.9456217,23,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.9482846,24,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.9508677,25,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.9534442,26,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.9559746,27,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.9584596,28,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.96102,29,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.963523,30,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.02697938121855259,0.026643309742212296,0.3102116286754608,-0.0018000602722167969,0.01488158293068409,0.007434374187141657,-0.2172798365354538,0.15929117798805237,9.755810737609863,0,0,0,0,0,0,0,0,-0.00920436903834343,0.007375210989266634,1.8515625,0.8016278743743896,0.0021045231260359287,0.46875,-1.60495126247406,-0.0020635908003896475,5.859375,0.03651469945907593,0.00021081205341033638,-2.19921875,0.7930896282196045,-0.008906046859920025,0.69140625,-1.606162428855896,-0.0004769258957821876,4.7109375,-0.02410091459751129,-0.002805063733831048,2.296875,0.7981762290000916,0.0005912716151215136,0.7890625,-1.6229966878890991,0.0029629722703248262,6.56640625,0.0011505461297929287,0.0012623773654922843,-2.421875,0.8017489910125732,0.0005619333824142814,0.640625,-1.6119756698608398,0.000860576459672302,5.453125
1744753224.9661808,31,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026910342276096344,0.026643972843885422,0.31026458740234375,-0.0037923019845038652,-7.67762612667866e-05,0.003263921942561865,-0.20949943363666534,0.17504438757896423,9.773870468139648,0,0,0,0,0,0,0,0,-0.00920436903834343,0.0007546821143478155,1.9765625,0.8015673160552979,-0.0018943106988444924,0.44140625,-1.60495126247406,-0.0022388757206499577,6.0078125,0.03651469945907593,0.00015467866614926606,-2.19921875,0.7930896282196045,-1.3721492905460764e-05,0.69140625,-1.606162428855896,1.062711908161873e-05,4.5625,-0.024040358141064644,0.004195155575871468,2.66796875,0.7981762290000916,-0.0008444955456070602,0.6171875,-1.6229562759399414,0.01374119520187378,6.453125,0.0012111011892557144,-0.003971705213189125,-2.34765625,0.8017489910125732,-0.004502391442656517,0.69140625,-1.6119756698608398,0.0048233321867883205,5.23046875
1744753224.968851,32,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026910342276096344,0.026643972843885422,0.31026458740234375,-0.0037923019845038652,-7.67762612667866e-05,0.003263921942561865,-0.20949943363666534,0.17504438757896423,9.773870468139648,0,0,0,0,0,0,0,0,-0.00920436903834343,0.0007546821143478155,1.9765625,0.8015673160552979,-0.0018943106988444924,0.44140625,-1.60495126247406,-0.0022388757206499577,6.0078125,0.03651469945907593,0.00015467866614926606,-2.19921875,0.7930896282196045,-1.3721492905460764e-05,0.69140625,-1.606162428855896,1.062711908161873e-05,4.5625,-0.024040358141064644,0.004195155575871468,2.66796875,0.7981762290000916,-0.0008444955456070602,0.6171875,-1.6229562759399414,0.01374119520187378,6.453125,0.0012111011892557144,-0.003971705213189125,-2.34765625,0.8017489910125732,-0.004502391442656517,0.69140625,-1.6119756698608398,0.0048233321867883205,5.23046875
1744753224.9712477,33,1,0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.026910342276096344,0.026643972843885422,0.31026458740234375,-0.0037923019845038652,-7.67762612667866e-05,0.003263921942561865,-0.20949943363666534,0.17504438757896423,9.773870468139648,0,0,0,0,0,0,0,0,-0.00920436903834343,0.0007546821143478155,1.9765625,0.8015673160552979,-0.0018943106988444924,0.44140625,-1.60495126247406,-0.0022388757206499577,6.0078125,0.03651469945907593,0.00015467866614926606,-2.19921875,0.7930896282196045,-1.3721492905460764e-05,0.69140625,-1.606162428855896,1.062711908161873e-05,4.5625,-0.024040358141064644,0.004195155575871468,2.66796875,0.7981762290000916,-0.0008444955456070602,0.6171875,-1.6229562759399414,0.01374119520187378,6.453125,0.0012111011892557144,-0.003971705213189125,-2.34765625,0.8017489910125732,-0.004502391442656517,0.69140625,-1.6119756698608398,0.0048233321867883205,5.23046875
